Year,Country,Month,No of Visitors,,,,,,,,,
2013,Republic of Korea,May,177,,,,,,,,,
2013,Republic of Korea,June,174,,,,,,,,,
2013,Republic of Korea,July,189,,,,,,,,,
2013,Republic of Korea,Aug.,102,,,,,,,,,
2013,Republic of Korea,Sept.,153,,,,,,,,,
2013,Republic of Korea,Oct.,240,,,,,,,,,
2013,Republic of Korea,Nov.,842,,,,,,,,,
2013,Republic of Korea,Dec.,745,,,,,,,,,
2013,Romania,Jan.,0,,,,,,,,,
2013,Romania,Feb.,0,,,,,,,,,
2013,Romania,Mar.,2,,,,,,,,,
2013,Romania,April,1,,,,,,,,,
2013,Romania,May,3,,,,,,,,,
2013,Romania,June,2,,,,,,,,,
2013,Romania,July,0,,,,,,,,,
2013,Romania,Aug.,28,,,,,,,,,
2013,Romania,Sept.,2,,,,,,,,,
2013,Romania,Oct.,1,,,,,,,,,
2013,Romania,Nov.,4,,,,,,,,,
2013,Romania,Dec.,2,,,,,,,,,
2013,Russian Federation,Jan.,38,,,,,,,,,
2013,Russian Federation,Feb.,22,,,,,,,,,
2013,Russian Federation,Mar.,76,,,,,,,,,
2013,Russian Federation,April,31,,,,,,,,,
2013,Russian Federation,May,8,,,,,,,,,
2013,Russian Federation,June,13,,,,,,,,,
2013,Russian Federation,July,13,,,,,,,,,
2013,Russian Federation,Aug.,4,,,,,,,,,
2013,Russian Federation,Sept.,35,,,,,,,,,
2013,Russian Federation,Oct.,81,,,,,,,,,
2013,Russian Federation,Nov.,105,,,,,,,,,
2013,Russian Federation,Dec.,23,,,,,,,,,
2013,Saudi Arab,Jan.,0,,,,,,,,,
2013,Saudi Arab,Feb.,0,,,,,,,,,
2013,Saudi Arab,Mar.,0,,,,,,,,,
2013,Saudi Arab,April,0,,,,,,,,,
2013,Saudi Arab,May,0,,,,,,,,,
2013,Saudi Arab,June,0,,,,,,,,,
2013,Saudi Arab,July,0,,,,,,,,,
2013,Saudi Arab,Aug.,0,,,,,,,,,
2013,Saudi Arab,Sept.,0,,,,,,,,,
2013,Saudi Arab,Oct.,0,,,,,,,,,
2013,Saudi Arab,Nov.,2,,,,,,,,,
2013,Saudi Arab,Dec.,0,,,,,,,,,
2013,Singapore,Jan.,53,,,,,,,,,
2013,Singapore,Feb.,32,,,,,,,,,
2013,Singapore,Mar.,43,,,,,,,,,
2013,Singapore,April,79,,,,,,,,,
2013,Singapore,May,39,,,,,,,,,
2013,Singapore,June,0,,,,,,,,,
2013,Singapore,July,8,,,,,,,,,
2013,Singapore,Aug.,3,,,,,,,,,
2013,Singapore,Sept.,46,,,,,,,,,
2013,Singapore,Oct.,21,,,,,,,,,
2013,Singapore,Nov.,108,,,,,,,,,
2013,Singapore,Dec.,126,,,,,,,,,
2013,Slovakia,Jan.,5,,,,,,,,,
2013,Slovakia,Feb.,0,,,,,,,,,
2013,Slovakia,Mar.,7,,,,,,,,,
2013,Slovakia,April,5,,,,,,,,,
2013,Slovakia,May,0,,,,,,,,,
2013,Slovakia,June,0,,,,,,,,,
2013,Slovakia,July,2,,,,,,,,,
2013,Slovakia,Aug.,0,,,,,,,,,
2013,Slovakia,Sept.,0,,,,,,,,,
2013,Slovakia,Oct.,1,,,,,,,,,
2013,Slovakia,Nov.,0,,,,,,,,,
2013,Slovakia,Dec.,3,,,,,,,,,
2013,South Africa,Jan.,0,,,,,,,,,
2013,South Africa,Feb.,0,,,,,,,,,
2013,South Africa,Mar.,0,,,,,,,,,
2013,South Africa,April,1,,,,,,,,,
2013,South Africa,May,1,,,,,,,,,
2013,South Africa,June,0,,,,,,,,,
2013,South Africa,July,4,,,,,,,,,
2013,South Africa,Aug.,0,,,,,,,,,
2013,South Africa,Sept.,0,,,,,,,,,
2013,South Africa,Oct.,0,,,,,,,,,
2013,South Africa,Nov.,0,,,,,,,,,
2013,South Africa,Dec.,4,,,,,,,,,
2013,Spain,Jan.,27,,,,,,,,,
2013,Spain,Feb.,17,,,,,,,,,
2013,Spain,Mar.,37,,,,,,,,,
2013,Spain,April,14,,,,,,,,,
2013,Spain,May,19,,,,,,,,,
2013,Spain,June,9,,,,,,,,,
2013,Spain,July,54,,,,,,,,,
2013,Spain,Aug.,91,,,,,,,,,
2013,Spain,Sept.,29,,,,,,,,,
2013,Spain,Oct.,89,,,,,,,,,
2013,Spain,Nov.,31,,,,,,,,,
2013,Spain,Dec.,107,,,,,,,,,
2013,Srilanka,Jan.,"1,080",,,,,,,,,
2013,Srilanka,Feb.,"5,387",,,,,,,,,
2013,Srilanka,Mar.,"8,705",,,,,,,,,
2013,Srilanka,April,836,,,,,,,,,
2013,Srilanka,May,547,,,,,,,,,
2013,Srilanka,June,905,,,,,,,,,
2013,Srilanka,July,953,,,,,,,,,
2013,Srilanka,Aug.,"6,810",,,,,,,,,
2013,Srilanka,Sept.,"3,236",,,,,,,,,
2013,Srilanka,Oct.,"3,421",,,,,,,,,
2013,Srilanka,Nov.,"2,774",,,,,,,,,
2013,Srilanka,Dec.,770,,,,,,,,,
2013,Sweden,Jan.,4,,,,,,,,,
2013,Sweden,Feb.,5,,,,,,,,,
2013,Sweden,Mar.,39,,,,,,,,,
2013,Sweden,April,48,,,,,,,,,
2013,Sweden,May,5,,,,,,,,,
2013,Sweden,June,0,,,,,,,,,
2013,Sweden,July,0,,,,,,,,,
2013,Sweden,Aug.,0,,,,,,,,,
2013,Sweden,Sept.,0,,,,,,,,,
2013,Sweden,Oct.,3,,,,,,,,,
2013,Sweden,Nov.,0,,,,,,,,,
2013,Sweden,Dec.,6,,,,,,,,,
2013,Switzerland,Jan.,9,,,,,,,,,
2013,Switzerland,Feb.,27,,,,,,,,,
2013,Switzerland,Mar.,52,,,,,,,,,
2013,Switzerland,April,62,,,,,,,,,
2013,Switzerland,May,38,,,,,,,,,
2013,Switzerland,June,20,,,,,,,,,
2013,Switzerland,July,15,,,,,,,,,
2013,Switzerland,Aug.,0,,,,,,,,,
2013,Switzerland,Sept.,8,,,,,,,,,
2013,Switzerland,Oct.,4,,,,,,,,,
2013,Switzerland,Nov.,37,,,,,,,,,
2013,Switzerland,Dec.,9,,,,,,,,,
2013,Taiwan,Jan.,164,,,,,,,,,
2013,Taiwan,Feb.,189,,,,,,,,,
2013,Taiwan,Mar.,186,,,,,,,,,
2013,Taiwan,April,85,,,,,,,,,
2013,Taiwan,May,3,,,,,,,,,
2013,Taiwan,June,0,,,,,,,,,
2013,Taiwan,July,30,,,,,,,,,
2013,Taiwan,Aug.,28,,,,,,,,,
2013,Taiwan,Sept.,32,,,,,,,,,
2013,Taiwan,Oct.,113,,,,,,,,,
2013,Taiwan,Nov.,241,,,,,,,,,
2013,Taiwan,Dec.,262,,,,,,,,,
2013,Thailand,Jan.,"2,430",,,,,,,,,
2013,Thailand,Feb.,"5,074",,,,,,,,,
2013,Thailand,Mar.,"5,145",,,,,,,,,
2013,Thailand,April,"1,332",,,,,,,,,
2013,Thailand,May,769,,,,,,,,,
2013,Thailand,June,860,,,,,,,,,
2013,Thailand,July,266,,,,,,,,,
2013,Thailand,Aug.,165,,,,,,,,,
2013,Thailand,Sept.,"1,230",,,,,,,,,
2013,Thailand,Oct.,"4,370",,,,,,,,,
2013,Thailand,Nov.,"5,606",,,,,,,,,
2013,Thailand,Dec.,"3,448",,,,,,,,,
2013,Turkey,Jan.,2,,,,,,,,,
2013,Turkey,Feb.,8,,,,,,,,,
2013,Turkey,Mar.,1,,,,,,,,,
2013,Turkey,April,2,,,,,,,,,
2013,Turkey,May,4,,,,,,,,,
2013,Turkey,June,0,,,,,,,,,
2013,Turkey,July,0,,,,,,,,,
2013,Turkey,Aug.,2,,,,,,,,,
2013,Turkey,Sept.,0,,,,,,,,,
2013,Turkey,Oct.,1,,,,,,,,,
2013,Turkey,Nov.,0,,,,,,,,,
2013,Turkey,Dec.,4,,,,,,,,,
2013,U.K.,Jan.,73,,,,,,,,,
2013,U.K.,Feb.,106,,,,,,,,,
2013,U.K.,Mar.,178,,,,,,,,,
2013,U.K.,April,266,,,,,,,,,
2013,U.K.,May,99,,,,,,,,,
2013,U.K.,June,43,,,,,,,,,
2013,U.K.,July,52,,,,,,,,,
2013,U.K.,Aug.,104,,,,,,,,,
2013,U.K.,Sept.,47,,,,,,,,,
2013,U.K.,Oct.,230,,,,,,,,,
2013,U.K.,Nov.,121,,,,,,,,,
2013,U.K.,Dec.,131,,,,,,,,,
2013,U.S.A.,Jan.,82,,,,,,,,,
2013,U.S.A.,Feb.,258,,,,,,,,,
2013,U.S.A.,Mar.,185,,,,,,,,,
2013,U.S.A.,April,120,,,,,,,,,
2013,U.S.A.,May,114,,,,,,,,,
2013,U.S.A.,June,86,,,,,,,,,
2013,U.S.A.,July,89,,,,,,,,,
