Year AD,Year BS,Country,Month,No of Visitors
2013,2070,Canada,Dec.,85
2013,2070,Czech Republic,Jan.,0
2013,2070,Czech Republic,Feb.,6
2013,2070,Czech Republic,Mar.,10
2013,2070,Czech Republic,April,4
2013,2070,Czech Republic,May,0
2013,2070,Czech Republic,June,1
2013,2070,Czech Republic,July,0
2013,2070,Czech Republic,Aug.,1
2013,2070,Czech Republic,Sept.,0
2013,2070,Czech Republic,Oct.,2
2013,2070,Czech Republic,Nov.,0
2013,2070,Czech Republic,Dec.,2
2013,2070,China,Jan.,689
2013,2070,China,Feb.,1291
2013,2070,China,Mar.,878
2013,2070,China,April,907
2013,2070,China,May,823
2013,2070,China,June,587
2013,2070,China,July,893
2013,2070,China,Aug.,1402
2013,2070,China,Sept.,1086
2013,2070,China,Oct.,1981
2013,2070,China,Nov.,1557
2013,2070,China,Dec.,1467
2013,2070,Denmark,Jan.,7
2013,2070,Denmark,Feb.,26
2013,2070,Denmark,Mar.,57
2013,2070,Denmark,April,18
2013,2070,Denmark,May,21
2013,2070,Denmark,June,4
2013,2070,Denmark,July,6
2013,2070,Denmark,Aug.,2
2013,2070,Denmark,Sept.,0
2013,2070,Denmark,Oct.,9
2013,2070,Denmark,Nov.,7
2013,2070,Denmark,Dec.,5
2013,2070,Finland,Jan.,15
2013,2070,Finland,Feb.,7
2013,2070,Finland,Mar.,15
2013,2070,Finland,April,5
2013,2070,Finland,May,6
2013,2070,Finland,June,0
2013,2070,Finland,July,6
2013,2070,Finland,Aug.,0
2013,2070,Finland,Sept.,2
2013,2070,Finland,Oct.,0
2013,2070,Finland,Nov.,0
2013,2070,Finland,Dec.,6
2013,2070,France,Jan.,52
2013,2070,France,Feb.,74
2013,2070,France,Mar.,123
2013,2070,France,April,119
