Year,Airline,Country,No of tourist
2012,Jet Airways,Others,1908
2012,Jet Airways,Not Sp,357
2012,Air China,Afghanistan,0
2012,Air China,Argentina,10
2012,Air China,Australia,271
2012,Air China,Austria,19
2012,Air China,Bangladesh,1
2012,Air China,Belgium,33
2012,Air China,Bhutan,20
2012,Air China,Brazil,35
2012,Air China,Bulgaria,10
2012,Air China,Cambodia,1
2012,Air China,Canada,170
2012,Air China,China,13595
2012,Air China,Czech Republic,86
2012,Air China,Denmark,66
2012,Air China,Finland,19
2012,Air China,France,221
2012,Air China,Germany,365
2012,Air China,Greece,0
2012,Air China,India,79
2012,Air China,Indonesia,12
2012,Air China,Ireland,10
2012,Air China,Israel,50
2012,Air China,Italy,117
2012,Air China,Japan,349
2012,Air China,Malaysia,84
2012,Air China,Mexico,30
2012,Air China,Myanmar,5
2012,Air China,Netherland,117
2012,Air China,New Zealand,38
2012,Air China,Norway,4
2012,Air China,Pakistan,3
2012,Air China,Philippines,1
2012,Air China,Poland,15
2012,Air China,Portugal,9
2012,Air China,Republic of Korea,219
2012,Air China,Romania,26
2012,Air China,Russian Federation,128
2012,Air China,Saudi Arabia,1
2012,Air China,Singapore,21
2012,Air China,Slovakia,14
2012,Air China,South Africa,38
2012,Air China,Spain,129
2012,Air China,Sri Lanka,0
2012,Air China,Sweden,37
2012,Air China,Switzerland,41
2012,Air China,Thailand,20
2012,Air China,Turkey,9
2012,Air China,Ukraine,10
2012,Air China,UK,196
2012,Air China,USA,720
2012,Air China,Vietnam,11
2012,Air China,Taiwan,70
2012,Air China,Others,200
2012,Air China,Not Sp,138
2012,Jet Lite Ltd.,Afghanistan,4
2012,Jet Lite Ltd.,Argentina,29
2012,Jet Lite Ltd.,Australia,341
2012,Jet Lite Ltd.,Austria,97
2012,Jet Lite Ltd.,Bangladesh,9
2012,Jet Lite Ltd.,Belgium,192
2012,Jet Lite Ltd.,Bhutan,11
2012,Jet Lite Ltd.,Brazil,58
2012,Jet Lite Ltd.,Bulgaria,6
2012,Jet Lite Ltd.,Cambodia,1
2012,Jet Lite Ltd.,Canada,560
2012,Jet Lite Ltd.,China,436
2012,Jet Lite Ltd.,Czech Republic,217
2012,Jet Lite Ltd.,Denmark,224
2012,Jet Lite Ltd.,Finland,214
2012,Jet Lite Ltd.,France,741
2012,Jet Lite Ltd.,Germany,605
2012,Jet Lite Ltd.,Greece,10
2012,Jet Lite Ltd.,India,12074
2012,Jet Lite Ltd.,Indonesia,10
2012,Jet Lite Ltd.,Ireland,113
2012,Jet Lite Ltd.,Israel,95
2012,Jet Lite Ltd.,Italy,716
2012,Jet Lite Ltd.,Japan,127
2012,Jet Lite Ltd.,Malaysia,37
2012,Jet Lite Ltd.,Mexico,79
2012,Jet Lite Ltd.,Myanmar,6
2012,Jet Lite Ltd.,Netherland,337
2012,Jet Lite Ltd.,New Zealand,97
2012,Jet Lite Ltd.,Norway,117
2012,Jet Lite Ltd.,Pakistan,5
2012,Jet Lite Ltd.,Philippines,26
2012,Jet Lite Ltd.,Poland,579
2012,Jet Lite Ltd.,Portugal,77
2012,Jet Lite Ltd.,Republic of Korea,112
2012,Jet Lite Ltd.,Romania,30
2012,Jet Lite Ltd.,Russian Federation,352
2012,Jet Lite Ltd.,Saudi Arabia,27
2012,Jet Lite Ltd.,Singapore,18
2012,Jet Lite Ltd.,Slovakia,50
2012,Jet Lite Ltd.,South Africa,20
2012,Jet Lite Ltd.,Spain,449
2012,Jet Lite Ltd.,Sri Lanka,119
2012,Jet Lite Ltd.,Sweden,143
2012,Jet Lite Ltd.,Switzerland,204
2012,Jet Lite Ltd.,Thailand,23
2012,Jet Lite Ltd.,Turkey,14
2012,Jet Lite Ltd.,Ukraine,34
2012,Jet Lite Ltd.,UK,2188
2012,Jet Lite Ltd.,USA,1303
2012,Jet Lite Ltd.,Vietnam,5
2012,Jet Lite Ltd.,Taiwan,13
2012,Jet Lite Ltd.,Others,377
2012,Jet Lite Ltd.,Not Sp,135
2012,Korean Air,Afghanistan,0
2012,Korean Air,Argentina,0
2012,Korean Air,Australia,37
2012,Korean Air,Austria,3
2012,Korean Air,Bangladesh,25
2012,Korean Air,Belgium,15
2012,Korean Air,Bhutan,5
2012,Korean Air,Brazil,0
2012,Korean Air,Bulgaria,3
2012,Korean Air,Cambodia,0
2012,Korean Air,Canada,231
2012,Korean Air,China,375
2012,Korean Air,Czech Republic,6
2012,Korean Air,Denmark,9
2012,Korean Air,Finland,8
2012,Korean Air,France,45
2012,Korean Air,Germany,22
2012,Korean Air,Greece,0
2012,Korean Air,India,47
2012,Korean Air,Indonesia,1
2012,Korean Air,Ireland,4
2012,Korean Air,Israel,46
2012,Korean Air,Italy,16
2012,Korean Air,Japan,723
2012,Korean Air,Malaysia,2
2012,Korean Air,Mexico,8
2012,Korean Air,Myanmar,12
2012,Korean Air,Netherland,24
2012,Korean Air,New Zealand,38
2012,Korean Air,Norway,6
2012,Korean Air,Pakistan,50
2012,Korean Air,Philippines,2
2012,Korean Air,Poland,30
2012,Korean Air,Portugal,1
2012,Korean Air,Republic of Korea,11427
2012,Korean Air,Romania,4
2012,Korean Air,Russian Federation,39
2012,Korean Air,Saudi Arabia,2
2012,Korean Air,Singapore,4
2012,Korean Air,Slovakia,1
2012,Korean Air,South Africa,6
2012,Korean Air,Spain,16
2012,Korean Air,Sri Lanka,1
2012,Korean Air,Sweden,15
2012,Korean Air,Switzerland,2
2012,Korean Air,Thailand,0
2012,Korean Air,Turkey,0
2012,Korean Air,Ukraine,3
2012,Korean Air,UK,31
2012,Korean Air,USA,1375
2012,Korean Air,Vietnam,2
2012,Korean Air,Taiwan,41
2012,Korean Air,Others,156
2012,Korean Air,Not Sp,33
2012,Etihad Airway,Afghanistan,7
2012,Etihad Airway,Argentina,4
2012,Etihad Airway,Australia,353
2012,Etihad Airway,Austria,347
2012,Etihad Airway,Bangladesh,17
2012,Etihad Airway,Belgium,1043
2012,Etihad Airway,Bhutan,21
2012,Etihad Airway,Brazil,10
2012,Etihad Airway,Bulgaria,9
2012,Etihad Airway,Cambodia,0
2012,Etihad Airway,Canada,266
2012,Etihad Airway,China,101
2012,Etihad Airway,Czech Republic,64
2012,Etihad Airway,Denmark,79
2012,Etihad Airway,Finland,212
2012,Etihad Airway,France,3006
2012,Etihad Airway,Germany,4226
2012,Etihad Airway,Greece,11
2012,Etihad Airway,India,419
2012,Etihad Airway,Indonesia,12
2012,Etihad Airway,Ireland,248
2012,Etihad Airway,Israel,17
2012,Etihad Airway,Italy,668
2012,Etihad Airway,Japan,160
2012,Etihad Airway,Malaysia,8
2012,Etihad Airway,Mexico,7
2012,Etihad Airway,Myanmar,10
2012,Etihad Airway,Netherland,287
2012,Etihad Airway,New Zealand,61
2012,Etihad Airway,Norway,305
2012,Etihad Airway,Pakistan,292
2012,Etihad Airway,Philippines,40
2012,Etihad Airway,Poland,97
2012,Etihad Airway,Portugal,107
2012,Etihad Airway,Republic of Korea,41
2012,Etihad Airway,Romania,22
2012,Etihad Airway,Russian Federation,110
2012,Etihad Airway,Saudi Arabia,97
2012,Etihad Airway,Singapore,1
2012,Etihad Airway,Slovakia,50
2012,Etihad Airway,South Africa,40
2012,Etihad Airway,Spain,155
2012,Etihad Airway,Sri Lanka,24
2012,Etihad Airway,Sweden,191
2012,Etihad Airway,Switzerland,447
2012,Etihad Airway,Thailand,24
2012,Etihad Airway,Turkey,14
2012,Etihad Airway,Ukraine,41
2012,Etihad Airway,UK,2226
2012,Etihad Airway,USA,747
2012,Etihad Airway,Vietnam,2
2012,Etihad Airway,Taiwan,8
2012,Etihad Airway,Others,760
2012,Etihad Airway,Not Sp,45
